brand,catNo,spec,rawName,quantity,limitPrice,recommendedSite,recommendedPrice,url
,,,白磁盘（30×40cm）,10,,,,
,,,黑磁盘（30×40cm）,10,,,,
,,,精细毛笔（0号）,15,,,,
,,,小刷子,15,,,,
,,,微型采集管（1.5ml带密封圈）,1500,,,,
,,,放大镜（10×）,5,,beyotime,30220,https://m.beyotime.com/mobilegoods.do?method=code&code=E0987
,,,电动吸蚊器（充电式）,5,,,,
,,,CDC诱蚊灯（含电池）,10,,,,
,,,CO?诱蚊装置（干冰式）,5,,,,
,,,诱蚊帐（人诱用）,3,,,,
,,,蚊幼虫采样勺/吸管,5,,,,
,,,毒力瓶（250ml）,50,,,,
,,,幼虫饲养盒,20,,,,
,,,捕蝇笼（折叠式）,10,,,,
,,,诱饵（鱼/肉/红糖等）,8,,,,
,,,捕蝇网（?35cm）,5,,,,
,,,毒力瓶（500ml）,30,,,,
,,,采样铲（不锈钢）,5,,,,
,,,筛网套件（4目/10目/20目）,5,,,,
,,,长柄镊子（30cm）,10,,,,
,,,水网（D形框）,5,,,,
,,,标本瓶（广口玻璃，250ml）,200,,,,
,,,密封塑料袋,500,,,,
,,,弯头精细镊子,10,,beyotime,90,https://m.beyotime.com/mobilegoods.do?method=code&code=JX04515144
,,,透气采集管（50ml离心管改造）,500,,,,
,,,诱饵装置（CO?/热源）,8,,,,
,,,白色床单（辅助发现）,5,,,,
,,,粘胶式诱捕器（粘板）,30,,,,
,,,小型采集管（2ml）,500,,,,
,,,小型标本盒,30,,,,
,,,定制牛帐/马帐（天幕式诱捕器）,3,,,,
,,,大型捕虫网（?45cm，加厚网布）,5,,,,
,,,大号标本盒,30,,,,
,,,白磁盘（大号）,10,,,,
,,,精细弯头镊子,10,,beyotime,700,https://m.beyotime.com/mobilegoods.do?method=code&code=JX05168915
,,,小型采集管（1.5ml）,500,,,,
,,,小毛笔,10,,,,
,,,白布旗（拖旗法，1m2）,6,,,,
,,,弯头精细镊子,10,,beyotime,90,https://m.beyotime.com/mobilegoods.do?method=code&code=JX04515144
,,,密封采集管（5ml）,500,,,,
,,,放大镜（20×）,5,,beyotime,30220,https://m.beyotime.com/mobilegoods.do?method=code&code=E0987
,,,紫外光诱蚊灯（小型，365nm）,6,,,,
,,,微型采集管（0.5ml）,1000,,,,
,,,微型标本盒,30,,,,
,,,真空采血管（EDTA抗凝）,500,,,,
,,,真空采血管（促凝/血清）,500,,,,
,,,采血针（一次性）,500,,,,
,,,采血袋,100,,,,
,,,一次性注射器（5ml/10ml）,200,,beyotime,133,https://m.beyotime.com/mobilegoods.do?method=code&code=P2615-5pcs
,,,血清冻存管（2ml）,1000,,beyotime,498,https://m.beyotime.com/mobilegoods.do?method=code&code=D0085S
,,,便携式离心机,1,,beyotime,239,https://m.beyotime.com/mobilegoods.do?method=code&code=E6685
,,,DNA提取试剂盒（组织/血液）,25,,beyotime,108,https://m.beyotime.com/mobilegoods.do?method=code&code=D8511S
,,,RNA提取试剂盒（Trizol法）,25,,beyotime,119,https://m.beyotime.com/mobilegoods.do?method=code&code=R0083S
,,,PCR Master Mix（2×）,30,,beyotime,0,https://m.beyotime.com/mobilegoods.do?method=code&code=D7255FT
,,,荧光定量PCR试剂盒,10,,beyotime,0,https://m.beyotime.com/mobilegoods.do?method=code&code=C0297FT
,,,逆转录试剂盒,15,,beyotime,83,https://m.beyotime.com/mobilegoods.do?method=code&code=D7168S
,,,琼脂糖,10,,beyotime,156,https://m.beyotime.com/mobilegoods.do?method=code&code=D0156A-5pcs
,,,DNA Marker/Ladder,15,,beyotime,0,https://m.beyotime.com/mobilegoods.do?method=code&code=D0076FT
,,,核酸染料（GelRed等）,5,,beyotime,210,https://m.beyotime.com/mobilegoods.do?method=code&code=JX01207317
,,,电泳缓冲液（TAE/TBE）,20,,beyotime,0,https://m.beyotime.com/mobilegoods.do?method=code&code=D0076FT
,,,引物合成,60,,beyotime,338,https://m.beyotime.com/mobilegoods.do?method=code&code=D0206S
,,,蛋白酶K,10,,beyotime,226,https://m.beyotime.com/mobilegoods.do?method=code&code=ST537-100mg
,,,RNA酶抑制剂,25,,beyotime,93,https://m.beyotime.com/mobilegoods.do?method=code&code=D7211S
,,,研磨液/裂解液,40,,beyotime,298,https://m.beyotime.com/mobilegoods.do?method=code&code=D0045S
,,,硅胶（干燥用）,20,,beyotime,98,https://m.beyotime.com/mobilegoods.do?method=code&code=ST2636-1kg
,,,无RNase水,30,,beyotime,268,https://m.beyotime.com/mobilegoods.do?method=code&code=D0522S
,,,其他零星试剂耗材,,,,,
,,,手持GPS记录仪（备用）,2,,,,
,,,红外测温仪（动物体温）,2,,,,
,,,土壤温湿度计,3,,,,
,,,光强计/照度计,2,,,,
,,,显微镜配件（环形灯/测微尺）,2,,,,
,,,移动电源（大容量）,5,,beyotime,239,https://m.beyotime.com/mobilegoods.do?method=code&code=E6685
,,,野外折叠桌椅,2,,,,
,,,遮阳帐篷（3×3m）,2,,,,
,,,应急急救箱,2,,,,
,,,安全蛇药/蛇钳,2,,,,
,,,其他未预见小额设备,,,,,
